Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-0a5315d5.uuid},,,Fer elementaire & Acide folique,Fer elementaire & Acide folique,Drug,N/A,,,
${var.concept.national.item-d1274833.uuid},,,Ferrous Folate,Fer Folate,Drug,N/A,,,
${var.concept.national.item-d49e1658.uuid},,,Ferrous sulfate,Sulfate ferreux,Drug,N/A,,,
${var.concept.national.item-8f446491.uuid},,,Fexofenadine,Fexofenadine,Drug,N/A,,,
${var.concept.national.item-e2650794.uuid},,,Finasteride,Finastéride,Drug,N/A,,,
${var.concept.national.item-32d6f1a8.uuid},,,Fluconazole,Fluconazole,Drug,N/A,,,
${var.concept.national.item-56a2f553.uuid},,,Flumazenil,Flumazénil,Drug,N/A,,,
${var.concept.ciel.76552.uuid},,,Fluoxetine,Fluoxétine,Drug,N/A,,,
${var.concept.national.item-c5a918a7.uuid},,,Fluticasone & Salmeterol,Fluticasone et salmeterol,Drug,N/A,,,
${var.concept.national.item-39aee96f.uuid},,,Fluticasone Furoate & Vilanterol,Furoate de fluticasone et vilanterol,Drug,N/A,,,
${var.concept.national.item-59c4799f.uuid},,,Fluticasone spray,Fluticasone en vaporisateur,Drug,N/A,,,
${var.concept.ciel.76613.uuid},,,Folic Acid,Acide folique,Drug,N/A,,,
${var.concept.national.item-13c78cde.uuid},,,Formula Milk,Formule Lait,Drug,N/A,,,
${var.concept.national.item-a82fd4d8.uuid},,,Frusemide,Frusémide,Drug,N/A,,,
${var.concept.national.item-81e598ec.uuid},,,Frusemide & Amiloride,Frusémide et amiloride,Drug,N/A,,,
${var.concept.national.item-f83db0a5.uuid},,,Fungobacter,Fongobacter,Drug,N/A,,,
${var.concept.national.item-9f6c3927.uuid},,,Furosemide,Furosémide,Drug,N/A,,,
${var.concept.national.item-cb8b19e0.uuid},,,Furosemide & Spironolactone,Furosémide et spironolactone,Drug,N/A,,,
${var.concept.national.item-41bf087e.uuid},,,Fusidic Acid,Acide fusidique,Drug,N/A,,,
${var.concept.national.item-0c0563de.uuid},,,Gabapentin,Gabapentine,Drug,N/A,,,
${var.concept.national.item-f59f2ffe.uuid},,,Gamma Benzene Hexachloride & Cetrimide,Hexachlorures de benzene gamma et cétrimide,Drug,N/A,,,
${var.concept.national.item-18e51e1e.uuid},,,Gamma-Hexachlorocyclohexane,Gamma-hexachlorocyclohexane,Drug,N/A,,,
${var.concept.national.item-02a15b77.uuid},,,Gelofusine,Gélofusine,Drug,N/A,,,
${var.concept.national.item-909ea570.uuid},,,Gemfibrozil,Genfibrozil,Drug,N/A,,,
${var.concept.national.item-9019b2e5.uuid},,,Gentamicin,Gentamicine,Drug,N/A,,,
${var.concept.national.item-c30f5267.uuid},,,Gentian Violet,Violet de gentiane,Drug,N/A,,,
${var.concept.national.item-c1131909.uuid},,,Glibenclamide,Glibenclamide,Drug,N/A,,,
${var.concept.national.item-e94c6d4c.uuid},,,Glimepiride,Glimépiride,Drug,N/A,,,
${var.concept.national.item-e6701098.uuid},,,Glipizide,Glipizide,Drug,N/A,,,
${var.concept.national.item-da550975.uuid},,,Glipizide Er,Glipizide Er,Drug,N/A,,,
${var.concept.national.item-1d47e474.uuid},,,Glucosamine & Chondroitin,Glucosamine & Chondroitin,Drug,N/A,,,
${var.concept.national.item-37466129.uuid},,,Glyburide,Glyburide,Drug,N/A,,,
${var.concept.national.item-a90d51dd.uuid},,,Glycerin,glycérine,Drug,N/A,,,
${var.concept.national.item-6b90f8e8.uuid},,,Glycerine & Sodium Chloride Enema,Lavement glycerine et chlorure de sodium,Drug,N/A,,,
${var.concept.national.item-604fc052.uuid},,,Glyceryl Trinitrate,Trinitrate de glycéryle,Drug,N/A,,,
${var.concept.national.item-9643b503.uuid},,,Glycopyrrolate,Glycopyrrolate,Drug,N/A,,,
${var.concept.national.item-c9c0c627.uuid},,,Griseofulvine,Griséofulvine,Drug,N/A,,,
${var.concept.national.item-0e35f48a.uuid},,,Guaifenesin,Guaifénésine,Drug,N/A,,,
${var.concept.ciel.77335.uuid},,,Haloperidol,Halopéridol,Drug,N/A,,,
${var.concept.national.item-b88ca045.uuid},,,Heatwrap,Heatwrap,Drug,N/A,,,
${var.concept.ciel.77413.uuid},,,Heparin,Héparine,Drug,N/A,,,
${var.concept.national.item-b07006a3.uuid},,,Hialorunate de Na+,Hialorunate de Na+,Drug,N/A,,,
${var.concept.national.item-bd8f1042.uuid},,,Hialorunate de Na+ et oxymetazoline,Hialorunate de Na+ et oxymetazoline,Drug,N/A,,,
${var.concept.national.item-b87151c8.uuid},,,Hydralazine,Hydralazine,Drug,N/A,,,
${var.concept.national.item-a2956625.uuid},,,Hydrocortisone,Hydrocortisone,Drug,N/A,,,
