Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
${var.drug.pharmacy.item-818ef5bc.uuid},,Pilex,${var.concept.national.item-818ef5bc.uuid},,,
${var.drug.pharmacy.item-c1c2676e.uuid},,Pneumococcal Vaccine (PCV13),${var.concept.national.item-c1c2676e.uuid},,,
${var.drug.pharmacy.item-792871a0.uuid},,Podophillin,${var.concept.national.item-792871a0.uuid},,,
${var.drug.pharmacy.item-e981d07a.uuid},,Polio Vaccine-Inactivated Vaccine (IPV),${var.concept.national.item-e981d07a.uuid},,,
${var.drug.pharmacy.item-5a26faba.uuid},,Polyethylene Glycol,${var.concept.national.item-5a26faba.uuid},,,
${var.drug.pharmacy.item-bcd42942.uuid},,Polyvalent Anti Snake Serum,${var.concept.national.item-bcd42942.uuid},,,
${var.drug.pharmacy.item-f7ae1d83.uuid},,Povidone iodine,${var.concept.national.item-f7ae1d83.uuid},,,
${var.drug.pharmacy.item-bb9c9e33.uuid},,Primoquine,${var.concept.national.item-bb9c9e33.uuid},,,
${var.drug.pharmacy.item-5dd2c915.uuid},,Promethazine Hydrochloride (HCl),${var.concept.national.item-5dd2c915.uuid},,,
${var.drug.pharmacy.item-c5e3d595.uuid},,Propacaine,${var.concept.national.item-c5e3d595.uuid},,,
${var.drug.pharmacy.ciel-82726.uuid},,Propofol,${var.concept.ciel.82726.uuid},,,
${var.drug.pharmacy.item-3ea17ac3.uuid},,Protamine sulfate,${var.concept.national.item-3ea17ac3.uuid},,,
${var.drug.pharmacy.item-35191c44.uuid},,Pyrimethamine Sulfadoxine,${var.concept.national.item-35191c44.uuid},,,
${var.drug.pharmacy.item-a0660319.uuid},,Rabeprazole Sodium,${var.concept.national.item-a0660319.uuid},,,
${var.drug.pharmacy.item-7055f997.uuid},,Rabies immunoglobulins,${var.concept.national.item-7055f997.uuid},,,
${var.drug.pharmacy.item-c5032f5b.uuid},,Ready-to-Use Supplementary Foods,${var.concept.national.item-c5032f5b.uuid},,,
${var.drug.pharmacy.item-a75e7808.uuid},,Rifampicin & Isoniazid & Ethambutol,${var.concept.national.item-a75e7808.uuid},,,
${var.drug.pharmacy.item-ab684df6.uuid},,Rifampicin & Isoniazid & Pyrazinamide,${var.concept.national.item-ab684df6.uuid},,,
${var.drug.pharmacy.item-606f9339.uuid},,"Rifampicine, Isoniazide",${var.concept.national.item-606f9339.uuid},,,
${var.drug.pharmacy.item-c103ec05.uuid},,"Rifampicine, Isoniazide, Ethambutol, pyrazinamide",${var.concept.national.item-c103ec05.uuid},,,
